"run","source","accuracy","weighted_f1","macro_f1","notes"
"iterative_exp2_selective_cleaning_best","iterative_exp2_selective_cleaning/iterative_summary.json","0.175763182238668","0.191481750681083","0.147961302853941","Best iterative checkpoint"
"exp3_repeated_cv_filter","exp3_repeated_cv_filter/metrics.csv","0.157724329324699","0.168985925966096","0.144128924455413","Repeated-CV filter baseline"
"hybrid_second_stage_best","hybrid_second_stage_experiments/results.csv","0.147548566142461","0.162500586533414","0.138832262465535","Best method: error_gating_ae_q0.5"
"exp2_filter_suspicious","exp2_filter_suspicious/metrics.csv","0.150786308973173","0.158861656842275","0.139320522657717","Suspicious-row filtering"
"advanced_filters_best_weighted","advanced_filter_experiments/best_weighted.csv","0.151248843663275","0.158117544331868","0.137482457099407","Best advanced filter candidate"
"exp1_conservative_relabel","exp1_conservative_relabel/metrics.csv","0.150323774283071","0.158094060024001","0.136307793540632","Conservative relabel pass"
"hybrid_classaware_best_weighted","hybrid_classaware_experiments/best_weighted.csv","0.138297872340426","0.142606015174044","0.132268933702057","Best hybrid/class-aware candidate"
"final_capped_filter_best","final_capped_filter/cap_results.csv","0.138760407030527","0.141788891436403","0.132772520225327","Best cap_fraction=0.05"
"exp2_best_tuned","exp2_best_tuned/metrics.csv","0.109620721554117","0.121439998293842","0.0863618237083859","Best tuned Exp2 config"
"exp2_filter_suspicious_cleaned","exp2_filter_suspicious_cleaned/metrics.csv","0.104070305272895","0.116093970739486","0.0812180450703774","Suspicious-row filtering on cleaned labels"
"delta_autoencoder_focal_best","delta_autoencoder_focal_experiments/results.csv","0.0314523589269195","0.0399958628343565","0.0184787627537715","Best method: delta_sigma_features"
"signal_labelnoise_best","signal_labelnoise_experiments/results.csv","0.0300647548566142","0.0370874745316989","0.0176542253007985","Best method: baseline_retrain"
